"Lon","Lat","PM25_AVG","var1.var"
-9.04,48.7,3.61731816773512,NA
-8.94,48.7,3.60674296443648,NA
-8.84,48.7,3.62616925421989,NA
-8.74,48.7,3.67479799697094,NA
-8.64,48.7,3.65307892022175,NA
-8.54,48.7,3.56110025391761,NA
-8.44,48.7,3.74193130764473,NA
-8.34,48.7,3.7691117587271,NA
-8.24,48.7,3.77496957108577,NA
-8.14,48.7,3.82885989875768,NA
-8.04,48.7,3.85483661234836,NA
-7.94,48.7,3.75426994390083,NA
-7.84,48.7,3.9030920934557,NA
-7.74,48.7,3.96703434381457,NA
-7.64,48.7,3.97660717385171,NA
-7.54,48.7,4.02035247603686,NA
-7.44,48.7,4.0861737325423,NA
-7.34,48.7,4.07888373182367,NA
-7.24,48.7,4.10065944843323,NA
-7.14,48.7,4.20210052660519,NA
-7.04,48.7,4.22921569029051,NA
-6.94,48.7,4.23379487792152,NA
-6.84,48.7,4.33076073857948,NA
-6.74,48.7,4.37403764195474,NA
-6.64,48.7,4.35564532258852,NA
-6.54,48.7,4.51427391354193,NA
-6.44,48.7,4.60887241503039,NA
-6.34,48.7,4.68326399760487,NA
-6.24,48.7,4.84185231840357,NA
-6.14,48.7,5.00173650758147,NA
-6.04,48.7,5.22905978717327,NA
-5.94,48.7,5.46374353975754,NA
-5.84,48.7,5.39823940191951,NA
-5.74,48.7,5.54344464884462,NA
-5.64,48.7,5.53190434135778,NA
-5.54,48.7,5.40314721595866,NA
-5.44,48.7,5.37227399127406,NA
-5.34,48.7,5.31619112683685,NA
-5.24,48.7,5.45536980395146,NA
-5.14,48.7,5.52296934741003,NA
-5.04,48.7,5.61705953010984,NA
-4.94,48.7,5.68364797749848,NA
-4.84,48.7,5.73236543867872,NA
-4.74,48.7,5.83815999751541,NA
-4.64,48.7,6.09554815880857,NA
-4.54,48.7,6.1608348807871,NA
-4.44,48.7,6.36307519623818,NA
-4.34,48.7,6.8254660841417,NA
-4.24,48.7,6.6883324814461,NA
-4.14,48.7,6.79167753717713,NA
-4.04,48.7,7.71414682104558,NA
-3.94,48.7,6.76709036420017,NA
-3.84,48.7,6.62828153075145,NA
-3.74,48.7,6.95774088144241,NA
-3.64,48.7,7.19960436980649,NA
-3.54,48.7,6.92228123239111,NA
-3.44,48.7,6.90937289386338,NA
-3.34,48.7,6.92116951144564,NA
-3.24,48.7,6.83073482371865,NA
-3.14,48.7,6.73099766885089,NA
-3.04,48.7,6.64440548854403,NA
-2.94,48.7,6.5777783987859,NA
-2.84,48.7,6.56256406230697,NA
-2.74,48.7,6.57869443593439,NA
-2.64,48.7,6.61339175562469,NA
-2.54,48.7,6.6608372258107,NA
-2.44,48.7,6.71777420334693,NA
-2.34,48.7,6.78210836275863,NA
-2.24,48.7,6.85280815315686,NA
-2.14,48.7,6.92993008879496,NA
-2.04,48.7,7.01372602955837,NA
-1.94,48.7,7.10432159149361,NA
-1.84,48.7,7.20124124054762,NA
-1.74,48.7,7.30229358942382,NA
-1.64,48.7,7.40264891902196,NA
-1.54,48.7,7.49674016047988,NA
-1.44,48.7,7.58144555136199,NA
-1.34,48.7,7.65740936953834,NA
-1.24,48.7,7.72748955748756,NA
-1.14,48.7,7.79487220981923,NA
-1.04,48.7,7.86219392678847,NA
-0.94,48.7,7.93129565563176,NA
-0.839999999999998,48.7,8.00322139432694,NA
-0.739999999999998,48.7,8.07816345404329,NA
-0.639999999999999,48.7,8.15538769601875,NA
-0.539999999999999,48.7,8.23347610475458,NA
-0.44,48.7,8.31080113430489,NA
-0.339999999999998,48.7,8.38611323083152,NA
-0.239999999999998,48.7,8.4590931475627,NA
-0.139999999999999,48.7,8.53049604295583,NA
-0.0399999999999991,48.7,8.6016232927199,NA
0.0600000000000005,48.7,8.67350347912909,NA
0.160000000000002,48.7,8.74658162600631,NA
0.260000000000002,48.7,8.8209854686753,NA
0.360000000000001,48.7,8.89678927259959,NA
0.460000000000001,48.7,8.97395011848946,NA
0.560000000000002,48.7,9.05216294208449,NA
0.660000000000002,48.7,9.13084139174301,NA
0.760000000000002,48.7,9.20915523982766,NA
0.860000000000001,48.7,9.28606613487722,NA
