"Lat","Lon","PM25_2009_CMAQ","PM25_2010_CMAQ","PM25_2011_CMAQ","PM25_AVG"
47.9330101013184,-9.09783935546875,3.59244799613953,2.83995842933655,4.12700462341309,3.51980368296305
47.9566993713379,-8.96353149414062,3.59816741943359,2.84751677513123,4.15146732330322,3.53238383928935
47.9802398681641,-8.82907104492188,3.60967755317688,2.8598518371582,4.17850589752197,3.54934509595235
48.0036087036133,-8.69448852539062,3.65025520324707,2.89636874198914,4.22341585159302,3.59001326560974
48.0268135070801,-8.55978393554688,3.74679684638977,2.92160081863403,4.32166814804077,3.66335527102152
48.0498542785645,-8.42495727539062,3.75192785263062,2.92693710327148,4.33284854888916,3.67057116826375
48.0727272033691,-8.29000854492188,3.76354575157166,2.93862414360046,4.35581636428833,3.68599541982015
48.0954475402832,-8.15493774414062,3.77741813659668,2.95774912834167,4.37999057769775,3.70505261421204
48.1179962158203,-8.01971435546875,3.82240700721741,3.00806784629822,4.46508884429932,3.76518789927165
48.1403770446777,-7.8843994140625,3.95595407485962,3.07883024215698,4.6143913269043,3.88305854797363
48.1625938415527,-7.74896240234375,3.9664945602417,3.1034996509552,4.66376924514771,3.9112544854482
48.1846466064453,-7.61337280273438,4.01620244979858,3.15360569953918,4.7374005317688,3.96906956036886
48.2065353393555,-7.47769165039062,4.01523208618164,3.15582013130188,4.74846029281616,3.97317083676656
48.2282600402832,-7.34188842773438,4.0695219039917,3.21803760528564,4.8264799118042,4.03801314036051
48.249813079834,-7.2059326171875,4.23017835617065,3.31725811958313,5.01091623306274,4.18611756960551
48.2712020874023,-7.06988525390625,4.24538135528564,3.34081220626831,5.05385637283325,4.21334997812907
48.292423248291,-6.9337158203125,4.26706171035767,3.38443303108215,5.09096050262451,4.24748508135478
48.3134803771973,-6.79745483398438,4.30138158798218,3.44899392127991,5.13451051712036,4.29496200879415
48.334358215332,-6.66104125976562,4.41928720474243,3.59494066238403,5.24239635467529,4.41887474060059
48.3550872802734,-6.5245361328125,4.67901563644409,3.87566089630127,5.52271127700806,4.69246260325114
48.3756408691406,-6.38790893554688,4.91654348373413,4.19077444076538,5.86065053939819,4.98932282129924
48.3960266113281,-6.25115966796875,5.29753828048706,4.64967060089111,6.33234977722168,5.42651955286662
48.4162483215332,-6.11428833007812,5.12075710296631,4.52007007598877,6.19051837921143,5.2771151860555
48.4362983703613,-5.97732543945312,5.67422485351562,5.14762878417969,6.86395025253296,5.89526796340942
48.4561767578125,-5.84024047851562,5.44331550598145,4.85343074798584,6.67336463928223,5.65670363108317
48.4758911132812,-5.70303344726562,5.17618942260742,4.53850936889648,6.38737010955811,5.367356300354
48.4954452514648,-5.56573486328125,5.09544038772583,4.40810441970825,6.26596403121948,5.25650294621785
48.5148124694824,-5.42831420898438,5.08475637435913,4.35987234115601,6.24980783462524,5.23147885004679
48.5340270996094,-5.29080200195312,5.17301940917969,4.37303876876831,6.33636331558228,5.29414049784342
48.5530624389648,-5.15316772460938,6.03514289855957,5.0139102935791,7.06524896621704,6.0381007194519
48.5719337463379,-5.01544189453125,6.23430871963501,5.20306015014648,7.26450634002686,6.23395840326945
48.5906295776367,-4.87759399414062,6.36740159988403,5.32113218307495,7.42438745498657,6.37097374598185
48.6091575622559,-4.73965454101562,6.65188932418823,5.65254592895508,7.74342966079712,6.68262163798014
48.6275100708008,-4.60159301757812,7.89914703369141,6.84803771972656,8.87174797058105,7.87297757466634
48.6456985473633,-4.46343994140625,7.82012844085693,6.77698802947998,8.77043628692627,7.78918425242106
48.6637229919434,-4.3251953125,8.39522266387939,7.36474418640137,9.3524112701416,8.37079270680746
48.6815643310547,-4.18682861328125,8.56124401092529,7.51050853729248,9.5040340423584,8.52526219685872
48.6992454528809,-4.04837036132812,8.06391429901123,6.7060604095459,8.75185203552246,7.8406089146932
48.7167510986328,-3.90982055664062,7.45657110214233,6.22106885910034,8.51335620880127,7.39699872334798
48.7340774536133,-3.77114868164062,8.1325216293335,7.04753923416138,9.12500476837158,8.10168854395548
48.7512359619141,-3.63238525390625,9.35779762268066,8.29257297515869,10.1693572998047,9.27324263254801
48.7682266235352,-3.49356079101562,9.12060737609863,7.9006233215332,9.59741878509521,8.87288316090902
48.7850456237793,-3.35458374023438,9.46095371246338,8.24826145172119,9.89855194091797,9.20258903503418
48.8016929626465,-3.21554565429688,9.45248889923096,8.18985462188721,9.95814990997314,9.20016447703044
48.8181762695312,-3.076416015625,8.26666641235352,7.07074451446533,9.16432476043701,8.16724522908529
48.8344688415527,-2.93719482421875,6.97674751281738,5.82222461700439,8.02499008178711,6.94132073720296
48.8506011962891,-2.7978515625,6.80561065673828,5.66082334518433,7.90511560440063,6.79051653544108
48.8665657043457,-2.658447265625,6.79422903060913,5.63056087493896,7.90446710586548,6.77641900380452
48.8823394775391,-2.5189208984375,6.86359834671021,5.6601390838623,7.999436378479,6.8410579363505
48.8979568481445,-2.37933349609375,7.02473115921021,5.71875190734863,8.13212585449219,6.95853630701701
48.9133834838867,-2.2396240234375,7.11042642593384,5.76447057723999,8.2214937210083,7.03213024139404
48.9286460876465,-2.099853515625,7.22300386428833,5.85023403167725,8.318528175354,7.13058869043986
48.9437370300293,-1.95999145507812,7.3700966835022,5.98571252822876,8.46118545532227,7.27233155568441
48.9586524963379,-1.82003784179688,7.63872337341309,6.23333549499512,8.69249629974365,7.52151838938395
48.9733924865723,-1.68002319335938,8.6368932723999,7.11228466033936,9.42278671264648,8.39065488179525
48.9879570007324,-1.53988647460938,9.70437240600586,8.2019681930542,9.92842578887939,9.27825546264648
