Title:,Time Series, Area-Averaged of SO2 Column Amount (Planetary Boundary Layer) OMSO2e v003 ()
User Start Date:,2013-01-01T00:00:00Z
User End Date:,2013-12-31T23:59:59Z
Bounding Box:,"-13.690860747999956,49.86288833600005,1.7574445010000304,60.86208343500001"
URL to Reproduce Results:,"http://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2013-01-01T00:00:00Z&endtime=2013-12-31T23:59:59Z&shape=state_dept_countries/shp_79&bbox=-13.690860747999956,49.86288833600005,1.7574445010000304,60.86208343500001&data=OMSO2e_003_ColumnAmountSO2_PBL&portal=GIOVANNI&format=json"
Fill Value:,-1.267651e+30

time, OMSO2e_003_ColumnAmountSO2_PBL
2013-07-27,-0.0558335
2013-07-28,-0.0434704
2013-07-29,-0.076683
2013-07-30,0.179899
2013-07-31,0.0365748
2013-08-01,-0.0794225
2013-08-02,-0.0357275
2013-08-03,-0.0225598
2013-08-04,-0.215368
2013-08-05,-0.0919891
2013-08-06,0.0246609
2013-08-07,0.0045123
2013-08-08,-0.0088521
2013-08-09,-0.0869009
2013-08-10,-0.0919219
2013-08-11,-0.0148526
2013-08-12,-0.148509
2013-08-13,-0.265989
2013-08-14,-0.0586053
2013-08-15,0.147447
2013-08-16,-0.143617
2013-08-17,-0.150107
2013-08-18,-0.0488948
2013-08-19,0.0610353
2013-08-20,0.085021
2013-08-21,-0.121666
2013-08-22,-0.108264
2013-08-23,-1.267651e+30
2013-08-24,-0.244231
2013-08-25,0.0451796
2013-08-26,0.155216
2013-08-27,0.0912555
2013-08-28,0.130023
2013-08-29,-0.0422384
2013-08-30,0.0149643
2013-08-31,-0.164716
2013-09-01,0.148237
2013-09-02,-0.0304317
2013-09-03,-0.037844
2013-09-04,-0.0627648
2013-09-05,0.091317
2013-09-06,-0.0983588
2013-09-07,-0.11656
2013-09-08,-0.0651585
2013-09-09,-0.196822
2013-09-10,0.164027
2013-09-11,-nan
2013-09-12,0.0596854
2013-09-13,0.00583185
2013-09-14,-0.153505
2013-09-15,0.0695721
2013-09-16,0.138428
2013-09-17,-0.0660148
2013-09-18,0.10299
2013-09-19,0.0877793
2013-09-20,-0.073915
2013-09-21,-0.0243814
2013-09-22,-0.079276
2013-09-23,-0.139437
2013-09-24,-1.267651e+30
2013-09-25,-0.0561882
2013-09-26,0.0263864
2013-09-27,0.0123394
2013-09-28,0.0822247
2013-09-29,0.112113
2013-09-30,0.0540853
2013-10-01,0.0533159
2013-10-02,0.232911
2013-10-03,0.404896
2013-10-04,0.180818
2013-10-05,0.0944319
2013-10-06,0.0677794
2013-10-07,-0.0143858
2013-10-08,0.00712102
2013-10-09,-0.00804771
2013-10-10,-0.0225554
2013-10-11,-0.0997872
2013-10-12,-0.0270141
2013-10-13,-0.0398235
2013-10-14,-0.116638
2013-10-15,-0.0668908
2013-10-16,0.0212235
2013-10-17,-0.0502389
2013-10-18,0.125342
2013-10-19,0.0786509
2013-10-20,0.0574807
2013-10-21,0.15207
2013-10-22,0.410237
2013-10-23,-0.0312746
2013-10-24,-0.0597064
2013-10-25,-0.395147
2013-10-26,-1.267651e+30
2013-10-27,0.11108
2013-10-28,-0.0492393
2013-10-29,0.0738364
2013-10-30,-0.175465
2013-10-31,0.0300629
2013-11-01,-1.267651e+30
2013-11-02,-1.267651e+30
2013-11-03,-1.267651e+30
2013-11-04,-1.267651e+30
2013-11-05,-1.267651e+30
2013-11-06,-1.267651e+30
2013-11-07,-1.267651e+30
2013-11-08,-1.267651e+30
2013-11-09,-1.267651e+30
2013-11-10,-1.267651e+30
2013-11-11,-1.267651e+30
2013-11-12,-1.267651e+30
2013-11-13,-1.267651e+30
2013-11-14,-1.267651e+30
2013-11-15,-1.267651e+30
2013-11-16,-1.267651e+30
2013-11-17,-1.267651e+30
2013-11-18,-1.267651e+30
2013-11-19,-1.267651e+30
2013-11-20,-1.267651e+30
2013-11-21,-1.267651e+30
2013-11-22,-1.267651e+30
2013-11-23,-1.267651e+30
2013-11-24,-1.267651e+30
2013-11-25,-1.267651e+30
2013-11-26,-1.267651e+30
2013-11-27,-1.267651e+30
2013-11-28,-1.267651e+30
2013-11-29,-1.267651e+30
2013-11-30,-1.267651e+30
2013-12-01,-1.267651e+30
2013-12-02,-1.267651e+30
2013-12-03,-1.267651e+30
2013-12-04,-1.267651e+30
2013-12-05,-1.267651e+30
2013-12-06,-1.267651e+30
2013-12-07,-1.267651e+30
2013-12-08,-1.267651e+30
2013-12-09,-1.267651e+30
2013-12-10,-1.267651e+30
2013-12-11,-1.267651e+30
2013-12-12,-1.267651e+30
2013-12-13,-1.267651e+30
