Title:,Time Series, Area-Averaged of SO2 Column Amount (Planetary Boundary Layer) OMSO2e v003 daily 0.25 ()
User Start Date:,2013-01-01T00:00:00Z,
User End Date:,2013-12-31T23:59:59Z,
Bounding Box:,"-22.5,41.4844,6.3281,67.5",
URL to Reproduce Results:,"http://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2013-01-01T00:00:00Z&endtime=2013-12-31T23:59:59Z&bbox=-22.5,41.4844,6.3281,67.5&data=OMSO2e_003_ColumnAmountSO2_PBL&portal=GIOVANNI&format=json",
Fill Value:,-1.27E+30,
,,
time, OMSO2e_003_ColumnAmountSO2_PBL,
22/06/2013,-0.0146809,
23/06/2013,-0.0158263,
24/06/2013,-0.0341477,
25/06/2013,-0.0173951,
26/06/2013,-0.0162345,
27/06/2013,-0.0363448,
28/06/2013,-0.0161809,
29/06/2013,-0.0345296,
30/06/2013,-0.0348923,
01/07/2013,-0.0228074,
02/07/2013,-0.0437917,
03/07/2013,-0.0543903,
04/07/2013,-0.0221437,
05/07/2013,-0.0387314,
06/07/2013,-0.00499028,
07/07/2013,-0.000901062,
08/07/2013,0.00662266,
09/07/2013,-0.00147154,
10/07/2013,-0.024343,
11/07/2013,-0.026497,
12/07/2013,-0.016098,
13/07/2013,-0.0468624,
14/07/2013,-0.0356654,
15/07/2013,-0.048857,
16/07/2013,-0.0284179,
17/07/2013,-0.0209501,
18/07/2013,-0.0456182,
19/07/2013,-0.00228078,
20/07/2013,-0.0124889,
21/07/2013,-0.00578542,
22/07/2013,,
23/07/2013,-0.0444454,
24/07/2013,-0.00976494,
25/07/2013,-0.0492562,
26/07/2013,-0.0146538,
27/07/2013,-0.0338257,
28/07/2013,-0.0335771,
29/07/2013,-0.0397289,
30/07/2013,-0.0411276,
31/07/2013,-0.0261631,
01/08/2013,-0.0280627,
02/08/2013,0.00176312,
03/08/2013,-0.02855,
04/08/2013,-0.0278411,
05/08/2013,-0.0257516,
06/08/2013,-0.0459591,
07/08/2013,-0.0250836,
08/08/2013,-0.0427243,
09/08/2013,-0.00119521,
10/08/2013,-0.0213722,
11/08/2013,-0.0298056,
12/08/2013,-0.0086449,
13/08/2013,-0.0397251,
14/08/2013,-0.00472735,
15/08/2013,-0.00305561,
16/08/2013,-0.0180159,
17/08/2013,0.00114757,
18/08/2013,0.020108,
19/08/2013,-0.011193,
20/08/2013,-0.0266244,
21/08/2013,-0.00503416,
22/08/2013,0.0175855,
23/08/2013,,
24/08/2013,0.000353451,
25/08/2013,0.0258098,
26/08/2013,0.00198544,
27/08/2013,0.0413864,
28/08/2013,0.0525052,
29/08/2013,0.0380008,
30/08/2013,0.043852,
31/08/2013,0.00108179,
01/09/2013,0.0103243,
02/09/2013,0.0239508,
03/09/2013,0.0184957,
04/09/2013,0.0167207,
05/09/2013,0.0122751,
06/09/2013,-0.0255716,
07/09/2013,0.0141403,
08/09/2013,0.0286324,
09/09/2013,0.00637593,
10/09/2013,7.18E-08,
11/09/2013,0.0112882,
12/09/2013,0.0367314,
13/09/2013,0.0329753,
